ordinal	assembly	fullName	name	action	target	basis
1	SomeEngine.Graphics	SomeEngine.Graphics.AccelerationStructureBuild	AccelerationStructureBuild	合并	AccelerationStructureBuildGeometryInfo	Vulkan 的一个 AccelerationStructureBuildGeometryInfo 已包含 mode/src/dst/scratch/geometry。
2	SomeEngine.Graphics	SomeEngine.Graphics.AccelerationStructureBuildCapabilities	AccelerationStructureBuildCapabilities	改名	BuildAccelerationStructureFlags	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
3	SomeEngine.Graphics	SomeEngine.Graphics.AccelerationStructureBuildPreference	AccelerationStructureBuildPreference	合并	BuildAccelerationStructureFlags	Vulkan 的一个 AccelerationStructureBuildGeometryInfo 已包含 mode/src/dst/scratch/geometry。
4	SomeEngine.Graphics	SomeEngine.Graphics.AccelerationStructureCompactionQuery	AccelerationStructureCompactionQuery	合并	RaytracingAccelerationStructurePostbuildInfoDesc	Vulkan 的一个 AccelerationStructureBuildGeometryInfo 已包含 mode/src/dst/scratch/geometry。
5	SomeEngine.Graphics	SomeEngine.Graphics.AccelerationStructureCopyMode	AccelerationStructureCopyMode	改名	CopyAccelerationStructureMode	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
6	SomeEngine.Graphics	SomeEngine.Graphics.AccelerationStructureDescriptor	AccelerationStructureDescriptor	合并	WriteDescriptorSet	descriptor write 使用 Vulkan 的一个 flat WriteDescriptorSet；不保留每资源一种 subclass。
7	SomeEngine.Graphics	SomeEngine.Graphics.AccelerationStructureInputs	AccelerationStructureInputs	合并	AccelerationStructureBuildGeometryInfo	Vulkan 的一个 AccelerationStructureBuildGeometryInfo 已包含 mode/src/dst/scratch/geometry。
8	SomeEngine.Graphics	SomeEngine.Graphics.AccelerationStructureRequirements	AccelerationStructureRequirements	改名	AccelerationStructureBuildSizesInfo	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
9	SomeEngine.Graphics	SomeEngine.Graphics.AccelerationStructureType	AccelerationStructureType	保留	AccelerationStructureType	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
10	SomeEngine.Graphics	SomeEngine.Graphics.AccelerationStructureView	AccelerationStructureView	改名	AccelerationStructure	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
11	SomeEngine.Graphics	SomeEngine.Graphics.AccessEffect	AccessEffect	改名	AccessFlags	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
12	SomeEngine.Graphics	SomeEngine.Graphics.AcquiredSwapchainImage	AcquiredSwapchainImage	删除	—	AcquireNextImage 返回 image index/Texture 与 GraphicsFence；不创建第二个 swapchain-image owner。
13	SomeEngine.Graphics	SomeEngine.Graphics.AddressMode	AddressMode	保留	AddressMode	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
14	SomeEngine.Graphics	SomeEngine.Graphics.AliasingBarrier	AliasingBarrier	合并	BarrierGroup	删除 barrier 基类、Kind 判别器和每变体一类的继承树；只保留标准 flat barrier 数据。
15	SomeEngine.Graphics	SomeEngine.Graphics.BarrierKind	BarrierKind	删除	—	Kind 与具体 barrier 类型重复；flat barrier 不需要第二个判别真相。
16	SomeEngine.Graphics	SomeEngine.Graphics.BarrierPhase	BarrierPhase	改名	BarrierFlags	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
17	SomeEngine.Graphics	SomeEngine.Graphics.BindGroup	BindGroup	改名	DescriptorSet	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
18	SomeEngine.Graphics	SomeEngine.Graphics.BindGroupBinding	BindGroupBinding	改名	DescriptorSetLayoutBinding	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
19	SomeEngine.Graphics	SomeEngine.Graphics.BindGroupLayout	BindGroupLayout	改名	DescriptorSetLayout	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
20	SomeEngine.Graphics	SomeEngine.Graphics.BindlessSlot	BindlessSlot	改名	DescriptorHandle	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
21	SomeEngine.Graphics	SomeEngine.Graphics.BindlessTable	BindlessTable	改名	DescriptorHeap	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
22	SomeEngine.Graphics	SomeEngine.Graphics.BindlessTableDesc	BindlessTableDesc	改名	DescriptorHeapDesc	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
23	SomeEngine.Graphics	SomeEngine.Graphics.BlendAttachment	BlendAttachment	保留	BlendAttachment	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
24	SomeEngine.Graphics	SomeEngine.Graphics.BlendFactor	BlendFactor	保留	BlendFactor	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
25	SomeEngine.Graphics	SomeEngine.Graphics.BlendOperation	BlendOperation	保留	BlendOperation	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
26	SomeEngine.Graphics	SomeEngine.Graphics.BottomLevelAccelerationStructureInputs	BottomLevelAccelerationStructureInputs	合并	AccelerationStructureBuildGeometryInfo	Vulkan 的一个 AccelerationStructureBuildGeometryInfo 已包含 mode/src/dst/scratch/geometry。
27	SomeEngine.Graphics	SomeEngine.Graphics.Buffer	Buffer	保留	Buffer	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
28	SomeEngine.Graphics	SomeEngine.Graphics.BufferDesc	BufferDesc	保留	BufferDesc	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
29	SomeEngine.Graphics	SomeEngine.Graphics.BufferDescriptor	BufferDescriptor	合并	WriteDescriptorSet	descriptor write 使用 Vulkan 的一个 flat WriteDescriptorSet；不保留每资源一种 subclass。
30	SomeEngine.Graphics	SomeEngine.Graphics.BufferMapMode	BufferMapMode	改名	MapMode	改用 Vulkan/D3D12/UE/Unity/Filament 中已出现的精确术语。
31	SomeEngine.Graphics	SomeEngine.Graphics.BufferMapping	BufferMapping	保留	BufferMapping	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
32	SomeEngine.Graphics	SomeEngine.Graphics.BufferRange	BufferRange	保留	BufferRange	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
33	SomeEngine.Graphics	SomeEngine.Graphics.BufferTextureCopy	BufferTextureCopy	合并	BufferImageCopy	方向相反但字段同构的复制参数只保留 Vulkan 的一个标准结构。
34	SomeEngine.Graphics	SomeEngine.Graphics.BufferTransitionBarrier	BufferTransitionBarrier	合并	BufferBarrier	删除 barrier 基类、Kind 判别器和每变体一类的继承树；只保留标准 flat barrier 数据。
35	SomeEngine.Graphics	SomeEngine.Graphics.BufferUnorderedAccessBarrier	BufferUnorderedAccessBarrier	合并	BufferBarrier	删除 barrier 基类、Kind 判别器和每变体一类的继承树；只保留标准 flat barrier 数据。
36	SomeEngine.Graphics	SomeEngine.Graphics.BufferUsage	BufferUsage	保留	BufferUsage	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
37	SomeEngine.Graphics	SomeEngine.Graphics.BufferView	BufferView	保留	BufferView	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
38	SomeEngine.Graphics	SomeEngine.Graphics.BufferViewDesc	BufferViewDesc	保留	BufferViewDesc	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
39	SomeEngine.Graphics	SomeEngine.Graphics.ColorAttachmentResolve	ColorAttachmentResolve	合并	RenderingAttachmentInfo	颜色、深度、模板和 resolve 都是同一 attachment info，不再各包一层。
40	SomeEngine.Graphics	SomeEngine.Graphics.ColorWriteMask	ColorWriteMask	保留	ColorWriteMask	外部图形 API/引擎已有同名概念；当前节点承担唯一事实或 owner。
